Transecto;AltDosel;CobDosel;Hojarasca;Densidad;Epifitas;Arboles;Necromasa;Helechos;Pendiente;Temp;Hum
1100-1;19,33333333;83,75;4,479166667;5,25;4,833333333;3,333333333;4,166666667;4,166666667;28,66666667;21,53480655;90,94796429
1100-10;20,66666667;70,20833333;4,958333333;5,125;3;2,333333333;4,5;2,333333333;21,83333333;21,53480655;90,94796429
1100-2;22,33333333;71,66666667;8,541666667;6,541666667;4,833333333;2,833333333;3,833333333;3,666666667;26,33333333;21,53480655;90,94796429
1100-3;21,66666667;78,95833333;4,104166667;6,375;5,416666667;3,833333333;4,666666667;2,666666667;27,16666667;21,53480655;90,94796429
1100-4;18,83333333;80,625;9,458333333;5,791666667;4,416666667;3;4;4,333333333;25,91666667;21,53480655;90,94796429
1100-5;20,66666667;84,7826087;3,8125;5,333333333;5,166666667;3,833333333;4;3,333333333;32,16666667;21,53480655;90,94796429
1100-6;18,5;72,5;8,291666667;6,166666667;4,166666667;3;4,166666667;5,333333333;33,5;21,53480655;90,94796429
1100-7;20,66666667;81,66666667;7,75;7,458333333;4,416666667;3,333333333;3,333333333;4,166666667;38,5;21,53480655;90,94796429
1100-8;19;72,70833333;3,479166667;7,541666667;4,833333333;3,333333333;2,833333333;3,333333333;16,5;21,53480655;90,94796429
1100-9;24,66666667;89,16666667;4,625;8;3,916666667;2,833333333;3,5;3,5;26,66666667;21,53480655;90,94796429
500-1;23;90,625;2,791666667;6,583333333;1,666666667;2,833333333;2;1,666666667;6,666666667;23,03425;97,40122384
500-2;20,33333333;82,91666667;4,958333333;6,5;3,833333333;1,333333333;3;2,833333333;9,333333333;23,03425;97,40122384
500-3;21,5;77,5;5,083333333;6,625;3,333333333;1,5;4;3,666666667;4,333333333;23,03425;97,40122384
500-4;23,33333333;87,70833333;3,5;7,125;4,083333333;1,833333333;3,5;4;7,166666667;23,03425;97,40122384
500-5;24,66666667;68,95833333;4,666666667;5,791666667;3,25;4;4,5;2,833333333;9,333333333;23,03425;97,40122384
500-pat10;25,83333333;85,41666667;3,875;8;2,166666667;2,5;2,666666667;2,666666667;6,5;23,03425;97,40122384
500-pat6;20,16666667;85,83333333;5,520833333;6,333333333;4,166666667;3,166666667;3,833333333;1,5;12,5;23,03425;97,40122384
500-pat7;22,33333333;82,29166667;1,9375;6,416666667;3,833333333;2,166666667;2,833333333;1,833333333;15,5;23,03425;97,40122384
500-pat8;22,66666667;82,70833333;3,625;6,958333333;3,25;2,5;3,833333333;2,5;10,16666667;23,03425;97,40122384
500-pat9;19,66666667;84,16666667;2,229166667;6,833333333;2,833333333;2,5;2,833333333;2,333333333;7,833333333;23,03425;97,40122384
700-1;26,66666667;89,16666667;4,25;8,375;2,166666667;2;2,333333333;2,333333333;21,16666667;22,65605952;93,80994048
700-2;22;82,70833333;4,520833333;7,583333333;3;2,833333333;4,166666667;3,333333333;21,5;22,65605952;93,80994048
700-3;21;77,91666667;3,458333333;6,791666667;2,666666667;2,333333333;3,666666667;3;26,5;22,65605952;93,80994048
700-4;22,5;64,79166667;3,9375;6,375;3,083333333;1,333333333;4,666666667;1,833333333;14;22,65605952;93,80994048
700-5;23,5;90;7,75;7,625;1,916666667;2;3,666666667;1,833333333;26;22,65605952;93,80994048
700-pat1;26,66666667;82,08333333;2,395833333;7,291666667;4,083333333;2,166666667;3,333333333;3,666666667;7,833333333;22,65605952;93,80994048
700-pat2;22,16666667;75,20833333;1,5;7,333333333;3,666666667;1,833333333;3,5;2,666666667;17;22,65605952;93,80994048
700-pat3;21,83333333;65,83333333;3,520833333;6,541666667;3,916666667;1,666666667;3,666666667;2,166666667;15,83333333;22,65605952;93,80994048
700-pat4;21,83333333;84,58333333;3,395833333;6,708333333;3;2,333333333;2,833333333;1,833333333;15,33333333;22,65605952;93,80994048
700-pat5;21,66666667;63,95833333;5,6875;7,166666667;2,833333333;1,333333333;3,5;2,5;26,5;22,65605952;93,80994048
900-1;26;83,75;3,375;6,291666667;4,416666667;2;4,333333333;3,666666667;27,66666667;22,2072619;91,49676488
900-10;21,58333333;77,91666667;4,479166667;7,5;3,666666667;2;3,666666667;4,166666667;18,66666667;22,2072619;91,49676488
900-2;21,5;67,08333333;3,041666667;6,166666667;4,916666667;1,666666667;5,333333333;2,833333333;43,66666667;22,2072619;91,49676488
900-3;22,83333333;92,8125;3,895833333;6,791666667;4,333333333;2,166666667;4;3,666666667;17,66666667;22,2072619;91,49676488
900-4;23;69,79166667;4,3125;6,291666667;4,916666667;2,333333333;4;3,666666667;19;22,2072619;91,49676488
900-5;23,83333333;91,25;4,104166667;7,208333333;4,916666667;2,833333333;3,166666667;4;17,16666667;22,2072619;91,49676488
900-6;23,5;72,70833333;4,041666667;6,833333333;3,5;1,666666667;4;2,833333333;22,5;22,2072619;91,49676488
900-7;24,83333333;77,91666667;3,104166667;5,125;4,916666667;2,333333333;4;4,5;30,83333333;22,2072619;91,49676488
900-8;22;80,41666667;6,791666667;5,625;4,916666667;1,833333333;3,833333333;4,666666667;22,5;22,2072619;91,49676488
900-9;25,66666667;71,66666667;5,166666667;7,166666667;3;1;4,333333333;3,333333333;25,83333333;22,2072619;91,49676488
